Genes
ADAMDEC1
ADCY7
AIF1
ALOX5AP
AMPD3
APOC1
APOE
ARHGAP15
ARHGAP25
ARRB2
BTK
BTN3A2
BTN3A3
C1orf54
C1QA
C1QB
C3AR1
CASP1
CCL2
CCL8
CCR7
CCRL2
CD163
CD2
CD274
CD33
CD3D
CD3G
CD48
CD52
CD53
CD74
CD84
CD86
CD8B
CIITA
CKAP2
CORO1A
CPVL
CSF1R
CSF2RB
CTLA4
CTSC
CTSL
CTSS
CXCL11
CXCR4
CYBB
CYTIP
DAPK1
DDX60
DOCK2
EVI2A
EVI2B
FCER1G
FCGR1A
FCGR2A
FCGR2B
FCGR3A
FGL2
FGR
FLI1
FMNL1
FNBP1
FOXP3
GBP1
GIMAP4
GMFG
GNLY
GNPTAB
GPNMB
GPR65
GZMK
HCK
HCLS1
HERC5
HERC6
HLA-A
HLA-C
HLA-DMA
HLA-DMB
HLA-DOA
HLA-DOB
HLA-DPA1
HLA-DPB1
HLA-DQA1
HLA-DQB1
HLA-DQB2
HLA-DRA
HLA-DRB1
HLA-DRB5
HLA-G
IFI16
IFI27
IFI30
IFI44
IFI44L
IFI6
IFIH1
IFIT1
IFIT2
IFIT3
IGLL1
IGLL5
IKZF1
IL10RA
IL12B
IL18
IL7R
IRF8
ISG15
ITGB2
LAIR1
LAMP3
LAPTM5
LCK
LCP1
LCP2
LHFPL2
LILRB4
LST1
LTB
LY86
LYN
LYZ
MAFB
MERTK
MNDA
MPP1
MSN
MX1
MYO1F
NCF2
NCKAP1L
NPC2
NPL
NTN3
OAS1
OAS2
OAS3
OASL
OSBPL3
PDCD1
PECAM1
PIK3CG
PLAC8
PLCG2
PLEK
PLTP
POU2AF1
PSMB9
PTGDS
PTPRC
PTPRCAP
RASSF2
RASSF4
RNASE6
RSAD2
RTP4
RUNX3
SAMD9
SAMHD1
SAMSN1
SELL
SELPLG
SEMA4D
SH2B3
SIRPG
SLA
SLAMF8
SLC1A3
SLC7A7
SLCO2B1
SP140
SPOCK2
SRGN
SYK
TAP2
TAPBP
TBX21
TBXAS1
TFEC
THEMIS2
TLR2
TMEM176B
TNF
TNFAIP3
TNFAIP8
TNFRSF1B
TNFSF13B
TYROBP
VCAM1
VSIG4
WIPF1
ZAP70
